identifying_location,place,city,state,latitude,longitude,ICAO,PWStation
Muar,Taman Sungai Abong,Muar,Johor,2.0631,102.5849,,
Jalan Muar-Pagoh,Pagoh,Muar,Johor,2.139035,102.739549,,IPAGOH1
Senai International Airport,Bandar Putra Kulai,Kulai,Johor,1.640555556,103.6702778,WMKJ,
Kampung Baru Kulai,Taman Kulai Besar,Kulai,Johor,1.654704,103.602386,,IKULAI5
Kluang,Kluang,Kluang,Johor,2.037882,103.312063,,
Larkin,Kampung Datok Onn Larkin,Larkin,Johor,1.494625,103.735975,,
Mersing Airport,Mersing,Mersing,Johor,2.383333333,103.8594444,WMAU,
Segamat,Kampung Sedeng,Segamat,Johor,2.493914,102.862694,,
Jalan Muar-Segamat,Sime Darby Plantation Ladang Tangkak,Tangkak,Johor,2.294794,102.571595,,ITANGK1
Kampung Payamas,Tangkak,Tangkak,Johor,2.319756,102.518743,,ITANGK1
Tangkak,Tangkak,Tangkak,Johor,2.319756,102.518743,,ITANGK1
Pengerang,Kampung Lepau,Pengerang,Johor,1.389489,104.149586,,
Batu Pahat,Batu Pahat,Batu Pahat,Johor,1.919323,102.866618,,
Johor Bahru,Johor Bahru,Johor Bahru,Johor,1.59889,103.680107,,IJOHORBA4
Kota Tinggi,Bandar Penawar,Kota Tinggi,Johor,1.564056,104.225306,,
SMK Tg Puteri Resort (MCAQM),Taman Tanjung Puteri,Pasir Gudang,Johor,1.4584928,103.9379466,,
Sek. Agama Taman Mawar Pasir Gudang (MCAQM),Taman Mawar,Pasir Gudang,Johor,1.471945,103.89532,,
SK Taman Pasir Putih Pasir Gudang (MCAQM),Taman Pasir Putih,Pasir Gudang,Johor,1.47516997,103.9372998,,
Pasir Gudang,Taman Mawar,Pasir Gudang,Johor,1.470122,103.893456,,
KLINIK DESA TEROI (MCAQM),Yan,Yan,Kedah,5.8457834,100.4287388,,
Kulim Hi-Tech,Kulim,Kulim,Kedah,5.401688,100.58968,,
Kulim,Kulim,Kulim,Kedah,5.401688,100.58968,,
Langkawi International Airport,Kampung Paya Mempelam,Langkawi,Kedah,6.333333333,99.73333333,WMKL,
Langkawi,Kuah,Langkawi,Kedah,6.331539,99.85846,,
Alor Setar,Kampung Batin,Alor Setar,Kedah,6.137244,100.346815,,
Sultan Abdul Halim Airport,Taman Desa Mutiara,Kota Setar,Kedah,6.194444444,100.4008333,WMKA,
SMK Bukit Selambau (MCAQM),Bukit Selambau,Kuala Muda,Kedah,5.6791693,100.6295196,,
Taman Perumahan Awam 2,Kampung Permatang Pasir,Bandar Baharu,Kedah,5.13825,100.507162,,IBANDA27
Pinang Tunggal,Bandar Puteri Jaya,Sungai Petani,Kedah,5.594814,100.536172,,ISUNGA4
Technology PP Industries(Norhern) Sdn Bhd (MCAQM),Amanjaya Zon Anggerik,Sungai Petani,Kedah,5.646248,100.5329773,,
Sungai Petani,Taman Nilam,Sungai Petani,Kedah,5.629631,100.467771,,
Sultan Azlan Shah Airport,Taman Raja Ekram,Ipoh,Perak,4.569166667,101.0930556,WMKI,
Pegoh Ipoh,Pegoh Ipoh,Ipoh,Perak,4.553336,101.080236,,
Tasek Ipoh,Tasek Ipoh,Ipoh,Perak,4.629444,101.11665,,
Seri Manjung,Seri Manjung,Manjung,Perak,4.200344,100.663358,,
Muallim,Muallim,Muallim,Perak,3.76835,101.52598,,ITANJO2
Taiping,Kampung Pak Dollah,Taiping,Perak,4.89885,100.679106,,
Sitiawan Airport,Pekan Sitiawan,Sitiawan,Perak,4.216388889,100.6986111,WMBA,
Tanjung Malim,Tanjong Malim,Tanjong Malim,Perak,3.687758,101.524494,,
Kudat Airport,Kudat,Kudat,Sabah,6.924166667,116.8308333,WBKT,
Kimanis,Kimanis,Papar,Sabah,5.538225,115.850556,,
Jalan Lama Kota Kinabalu-Papar,Taman Seri Alam,Papar,Sabah,5.708372,115.95534,,IPAPAR3
Tawau Airport,Tawau,Tawau,Sabah,4.313333333,118.1219444,WBKW,
Tawau,Tawau,Tawau,Sabah,4.249786,117.935864,,
Tamparuli,Tamparuli,Tuaran,Sabah,6.128676,116.256661,,ITAMPA3
Sungai Sapi,Sungai Sapi,Beluran,Sabah,5.720743,117.36956,,IBELURAN2
Kampung Tiampus,Tegupeh,Beluran,Sabah,6.313231,117.408073,,IBELURAN3
Keningau,Kampung Ria,Keningau,Sabah,5.339317,116.163658,,
Sandakan Airport,Sandakan,Sandakan,Sabah,5.901666667,118.0486111,WBKS,
Sandakan,Batu 3,Sandakan,Sabah,5.864467,118.091089,,
Jalan Kampung Soronsob,Kampung Tambulaung,Kota Belud,Sabah,6.226784,116.452015,,IKOTAB5
Politeknik Kota Kinabalu (MCAQM),Kota Kinabalu Industrial Park,Kota Kinabalu,Sabah,6.097122,116.166392,,
Kota Kinabalu (MCAQM),Asia City,Kota Kinabalu,Sabah,5.9804,116.0735,,
Kota Kinabalu,Putatan,Kota Kinabalu,Sabah,5.89372,116.04327,,
Kota Kinabalu International Airport,Tanjung Aru,Kota Kinabalu,Sabah,5.944722222,116.0586111,WBKK,
Politeknik Kota Kinabalu,Kota Kinabalu Industrial Park,Kota Kinabalu,Sabah,6.097122,116.166392,,
Labuan Airport,Bandar Victoria,Labuan,Labuan,5.301666667,115.2483333,WBKL,
Labuan,Kampung Pantai,Labuan,Labuan,5.298107,115.232106,,
Alor Gajah,Machap Umboo,Alor Gajah,Melaka,2.370925,102.224592,,
Malacca International Airport,Durian Tunggal,Alor Gajah,Melaka,2.263055556,102.2525,WMKM,
Madrasah An Nur Pekan Rembia Alor Gajah (MCAQM),Rembia,Alor Gajah,Melaka,2.3313578,102.2079583,,
Ayer Keroh,Ayer Keroh,Ayer Keroh,Melaka,2.237283,102.274261,,IMALAC2
Bukit Rambai,Taman Bukit Rambai,Bandaraya Melaka,Melaka,2.258519,102.172683,,
SMK Tinggi Melaka,Melaka Raya,Bandaraya Melaka,Melaka,2.190936,102.257058,,
Bandaraya Melaka,Taman Bakti,Bandaraya Melaka,Melaka,2.19235,102.25777,,
Sungai Ruan,Sungai Ruan,Raub,Pahang,3.807348,101.940577,,IRAUB2
Pekan,Pekan,Pekan,Pahang,3.058157,103.17379,,IPEKAN1
Lebuhraya Timur-Barat Kedua,Lojing,Lojing,Pahang,4.733746,101.643561,,IGUAMU4
Rompin,Kg Leban Chondong,Rompin,Pahang,2.926645,103.419198,,
